"Model", "Модель"
"Model", "Модель"
"Create bizaya model", "Создать модель"
"Log out", "Выйти"
"New process", "Новый процесс"
"New metric", "Новый показатель"
"New system", "Новая система"
"New interval", "Новый интервал" 
"This is the template to create a new process. Just drug and drop it to the main area.", "Это шаблон для создания нового процесса. Просто перетяните его на область слева."
"Your model is saved.", "Модель сохранена."
"This model is private", "Приватная модель."
"This model is public", "Публичная модель."
"Publish model", "Опубликовать"
"Unpublish model", "Сделать приватной"
"Delete model", "Архивировать"
"Properties", "Свойства"
"Name", "Имя"
"Description", "Описание"
"Parameter", "Параметр"
"SIGN UP", "РЕГИСТРАЦИЯ"
"SIGN IN", "ВОЙТИ"
"USERNAME", "ЛОГИН"
"EMAIL", "EMAIL"
"PASSWORD","ПАРОЛЬ"
"Login","Войти"
"Logout","Выйти"
"Sign up","Регистрация"
"Sign in","Войти"
"Your username...","Придумайте логин"
"Your email...","Введите ваш email"
"Your password...","Придумайте пароль"
"Create account", "Зарегистрировать"
"Checking...","Проверка..."
"The name must be filled.","Логин должен быть заполнен."
"The name exists. Please choose another name.","Такой логин уже существует. Выберите другой логин."
"No connection to server. Please try again.","Проблема с регистрацией. Повторите попытку позже."
"The email exists. Please choose another email.", "Такой email уже существует. Выберите другой email."
"The email format is wrong.","Формат email неверен."
"The password must not be less then 8 symbols.","Пароль должен содержать не менее 8 символов."
"INDUSTRY","ИНДУСТРИЯ"
"TEMPLATE","ШАБЛОН"
"MODEL NAME","ИМЯ МОДЕЛИ"
"Create model", "Создать модель"
"CREATE MODEL","СОЗДАТЬ МОДЕЛЬ"
"Any Industry", "Любая индустрия"
